,Tweets
1764,@king_culub @FrankKhalidUK @paulpogba @Cristiano A dream that will never come true😂
1765,@thedefiedge Ronaldo and it isn't close. Everyone else is living in bias world.
1766,Cristiano Ronaldo is the greatest athlete of all time
1767,"@f_jart @UnitedStandMUFC If he(Ronaldo) wants to stay over leave, I think that is up to him to decide. I am more concerned about his mental stability in the team."
1768,Ronaldo at 35 vs Messi at 35 https://t.co/POxsJ0lwxV
1769,"As a football fan
U can not like Ronaldo and Messi at the same time
Either you are a Ronaldo fan Messi
✌️ https://t.co/kD1mvRfyQk"
1770,Ronaldo avi and American lmaooo https://t.co/nRuRqTD9t0
1771,81?? Ronaldo at least 86 - 88. https://t.co/DMSoSfVwqO
1772,Je me nomme mathias ronaldo j'ai des révélations à faire sur mon frère CR7 concernant  L'Europa League.😑 https://t.co/W1jfrMka7b
1773,"@HardManUtdVids ""BuT BuT rOnAlDO DoNT DrIbbLe"""
1774,Ronaldo 90 mdrrr https://t.co/mUZ8zkwH66
1775,"Florentino es un despistado que se cree más que @Cristiano y CR7 hizo bien en hacer un lado el veneno negro @CocaColaCo_es , es más preventivo, que muchos gobiernos que permiten el consumo de ese líquido tan brutalmente nocivo para la salud, porque temen enfrentar a la @CocaCola https://t.co/kbsaSdv1Jk"
1776,"@ESPNFC Obviously money NOT well spent. Curious to see what both Liverpool and Real Madrid spent in the same period of time.  Since both MU and Juve both signed Ronaldo in that period of time, let’s disregard that amount of money from the total for both."
1777,@ALMRISEUL @musalli9 @Cristiano النفاق الاجتماعي في زماننا هو التلون في العلاقات، وعدم الوضوح في المواقف والمبادئ والأحاديث لغرض الإفساد أو الانتفاع الشخصي.
1778,"🎥🚨En el entrenamiento de hoy en Carrington @Cristiano Ronaldo 👑🐐

VIVA  #CR7𓃵 
VIVA  #Best 
VIVA  #GOAT𓃵 

#CR7𓃵 #CristianoRonaldo #Ronaldo #VIVARONALDO #MUFC #CristianoRonaldo𓃵  #CR7EFFECT #GOAT𓃵 https://t.co/BHjxakBBiw"
1779,"@SoouullX @wahraniii6 @saile_jedusor @_Cristiano9_3 Ronaldo est un ailier faux pied qui rentre dans le cœur du jeu, et en l'occurrence, oui c'est sûrement un des plus complets à son poste, mais en tant qu'attaquant c'est pas lui, et ça existe même pas enfaite"
1780,"@ManUnitedZone_ How sad does Ronaldo’s legacy look, with Jorge Mendes his minder basically hawking him around trying everything he can to convince somebody to take him. Do not understand why somebody so obsessed with his brand, is trashing his reputation in this way. #CRjustgo"
1781,"@CRedDevil7 @MrTomMcDermott What does winning have to do with squad harmony? 

I love Ronaldo he’s my goat but if he doesn’t start he will cause a tantrum and he’ll grab headlines and that’s not healthy for a football team that wants to progress"
1782,@maiorzeiro @Cruzeiro @Ronaldo Se fosse para escolher um. Bidu tem muito mais bola.
1783,"En Portugal, el estatus de líder de Cristiano Ronaldo es intocable https://t.co/NdPZBbrZbX"
1784,EA gave Ronaldo and Messi 81 pace dawg. Messi’s somehow a rating higher aswell. Weird times
1785,@ManUtd @GhanaMUSC If Antony fits in well i see Ronaldo banging in those goals trust me💫🐐🐐🐐
1786,@local_man26 @arindaela @elonmusk @KagutaMuseveni @AnitahAmong @Cristiano @D_DeGea @HarryMaguire93 G😂
1787,"@spleendistanbuI abi halı saha öncesi ardını dövdürmek,  bacakların aralanması ve ronaldo duruşu için çok önemli bilgin olsun"
1788,@omaakatugba Talk about Ronaldo too
1789,@FenerGlobalOrg @ZorluMurat Kendini cidden Ronaldo sanıyor bu :D
1790,@ranaltboo Ronaldo booth would be amazing
1791,@Ronaldo_aff KKKKKK
1792,@KINGKALYAN777 @ronaldo_mb_dhf @TrendPSPK Inka 1hr kooda ledu inka full padaledu puka https://t.co/WCpWNYW80b
1793,"@Cr7stianismo_ Que mamadas de Ronaldo, pura decisión pendeja ha estaso tomando desde hace años"
1794,"@CAMAW1NGA @KieranCFC88 This guy has an Argentina flag in his name trying to make it seem like he’s an Argentinian choosing Ronaldo over Messi, you’re embarrassing 😭"
1795,@MaarlooN21 @ronaldo_neto0 @BarcellosL16 Aq em casa é . Tem ?
1796,@SkySportsPL I was big of fan of keeping @Cristiano but I think we have to consider that he is 38 basically and is on 500k a week and not the mangers first choice. To me he is the greatest to ever play for Manchester United but letting him go is a win for us economically
1797,But please Erik please keep ronaldo am sure he can have 1 best season under you with antony on the planks trust me he will shine please @Cristiano dont go
1798,@PSG_inside @visitrwanda_now @SergioRamos Cristiano Ronaldo owns PSG.
1799,"@Davidsonbomi @omaakatugba You forgot to add Ronaldo, Forlan, Suares etc to the list of players that left EPL and became lords in laliga"
1800,@katie7268495 Messi or Ronaldo
1801,Paul pogba on what he thinks about Ronaldo in United ..I agree with him https://t.co/9ujHe6q2ly
1802,"Vendo tudo que tá vindo a tona (ass. internos) sobre os clubes brasileiros, só posso dizer que a gente ainda vai agradecer muito pelo fato do Ronaldo (alguém que entende de futebol e negócios) ter assumido a bronca do Cruzeiro. Aguardem!"
1803,"@blackz_itoogood @TrentAA @awbissaka @Certifiedopeboi @_Vegaza @omnisavage @iam_wilsons You see the problem with this is you guys aren't judging based on the team at united, you expect players at a shit footballing environment like united to get the same results as players at liverpool and city
You did the same for paul, mou, ronaldo, bruno etc unreal expectations"
1804,He’s saying Ronaldo to Napoli js hot https://t.co/4cW493cM2j
1805,"Les titres sur Ronaldo font vendre de fou, c’est réel. Bientôt Ronaldo à Guangzhou, manque plus que la visite médicale, bandeurs de fake news 🫠 https://t.co/8hZY12nb2z"
1806,"@xcapii12 @padrura @JotaUveEle @CadeeOKC @Cristiano @lamacope @Minabonino @kikorivera @MisteerApu @Alphasniper97 gracias, fin de la entrevista"
1807,"It’s not that I want Ronaldo to leave, but the media circus that follows him is not worth it when we’re trying to build something new. #MUFC"
1808,"@abbas_alme CR5. Is Ronaldo, 5 time ballon d'or winner.
Obviously not 7 like Messi 🤣🤣"
1809,no seas mamón si a esas vamos denle sus premios a cristiano ronaldo y kylie jenner pendejo estúpido sjbsjsbsjs https://t.co/QWdGx0bBkI
1810,@MuzFN Messi or Ronaldo
1811,"@Muppetiers Ronaldo leaving does feel like we will be pretty light but I agree I don't see how we get a deal done unless Napoli decide to be kind with Osimhen, which is beyond unlikely."
1812,"Alguien puede confirmarme si el anuncio de la llegada de Cristiano Ronaldo al MU el año pasado, fue quitado desde antes o es reciente? o es que aun existe?; Porque yo recien veo que ese anuncio no está en la cuenta de @ManUtd

#MUFC @arielipillo https://t.co/1KpsXkFcGS"
1813,@UnitedStandMUFC Strip off the shirt no.7 from Ronaldo n' give to the brazilian. We are tied of goats now we want cows
1814,"@FabrizioRomano Manchester United 

Sancho for €85M who has been trophy less for 2 years ✅ 

Maguire for €80M who has been satisfying them with own goals ✅ 

Got ronaldo and turned him into batshuayi ✅

Spent €1.2billion last 5 years to get knocked by slavia prague in the europa league ✅"
1815,"@updates_brumz Reminds me of that dodgy Ronaldo statue, think a five year old could have done a better job to be honest🤪"
1816,@_lucidjb @extrafinderr Predicting a Ronaldo hatty five hundred times in a season isn't obsession but I who rarely talks about Messi unless you try to chat bad about him is obsessed? lmao okay😪 you're still a flip flop and a snowflake though 😂 nothing will change that
1817,@urstruly_srii @mdgouse13116 @ronaldo_mb_dhf @TFI__KING__MB @SureshKondi_ We will do one thing chatrapathi 1st Vesi 2 ND off billa veddam
1818,Former Manchester United interim manager Ralf Rangnick reacted hilariously when asked if he would call Cristiano Ronaldo up the Austrian national team. https://t.co/DEPYaJw62A
1819,"Este año los de ea se la fumaron bien con los ups y los down, igual me gusta bastante algunas cosas pero lo de Ronaldo y Messi no hay perdón"
1820,"mahallede çocuklar top oynuyor
top ayaklarına gelince biri Ronaldo
biri Arda Güler diyor 🥲"
1821,@Ronaldo_aff Me põe na sua roda
1822,@ranaltboo Ronaldo booth
1823,@ManUtdMEN 👊🏼🗞 As United Radar reported! Cristiano Ronaldo will most likely stay!
1824,"Eleştiri kaldıramayan futbolcu Messi, Ronaldo olsa bile çekilmez ya fenerbahce bişiler başarabilmek istiyorsa bunun gibi adamları kadro dışı bırakmalı ama umarım bırakmazlar bu tiplerle başarı imkansız çünkü https://t.co/IK1lLPLSOl"
1825,"@CAMAW1NGA @KieranCFC88 You do realize they are a legit site, you’re just insecure and think that by laughing at it, it will reassure you that Ronaldo isn’t as bad. Sorry pal Ronaldo is shit"
1826,"The best player you played against? 

Pickford: Cristiano Ronaldo https://t.co/JT4uKT3Gul"
1827,@FrankKhalidUK RONALDO CR7
1828,@M2musa_ Wannan yana nuna cewa rabonda ka kalli Ronaldo tun chin UCL dinku dashi na qarshe sannan kuma baka taba kallon Elangan ba
1829,@hiroyt100 @Hyu_Goo @SocialChelseaFR @TheSecretScout_ C'est parce que Tuchel est un pro Messi qu'il a pas mis Ronaldo sur la liste je crois.
1830,@TheEuropeanLad @Jamesstretford @EdsonAlvarez19 Lot of undue hate for European Lad from United fans here but imagine how you would feel if somebody came in for Bruno or Ronaldo or Rashford and took all three. He loves his club and players just like we all do
1831,@naziscooo @padrura @JotaUveEle @CadeeOKC @Cristiano @lamacope @Minabonino @kikorivera @MisteerApu @Alphasniper97 no
1832,AIRCR7✈️ Golazo de Cristiano Ronaldo⚽️🔥 Sampdoria 1-2 Juventus.  #CR7𓃵 @Cristiano  #VIVARONALDO https://t.co/iGTXtv6kII
1833,"“o cristiano ronaldo não é brasileiro?” romano, enzo (2022)"
1834,"@KINGKALYAN777 @ronaldo_mb_dhf @TrendPSPK Kuttha mui ra puka kali theatre ra erripuka
Nuvu oka amma ki abba ki putti untey screen shot pettra"
1835,@FabrizioRomano Cristiano Ronaldo news?
1836,"@RMadridEngineer Ah another fatherless human, see Messi winning his 7th was simply just adding on, on the things he’s superior over Ronaldo. Us “Messi fans” tend to also admire the beautiful fútbol both Leo and Suarez gave us. What I’m basically saying is the Gap of raw talent is kinda large…"
1837,"se acaba de escuchar la siguiente conversación gritando en el patio de mi colegio
-ME SALIO RONALDO
-QUE GRITAS PECHO FRIO NI QUE FUERA MESSI
totalmente segundo pibe, la argentinidad siempre al palo https://t.co/0qCb0cMI2U"
1838,@FTBLWEZZ Same nation as Ronaldo like wtf is he even on about that stinky individual
1839,"@ManUjournal Madness if Kaveh thinks united will let Ronaldo leave just to reduce the wage bill etc.
United cannot afford to let him go without a replacement. I'd be inclined to do business with Atletico for Griesmann as an exchange as they are having issues with his contract."
1840,@ValerienZeynep @cocomethazine @asistanaliz yani ronaldo falan 19.yy’dan beri mi oynuyor o yüzden mi diyosun?
1841,@markgoldbridge I think the coming of Antony should make Ronaldo happy at United.
1842,"MBAPPÉ SE JUSTIFICA:
Dice que sólo quería emular a su ídolo @Ronaldo."
1843,@piersmorgan @Cristiano can you acknowledge Piers and grant him the attention he sorely craves
1844,⚪️🔵 #Ronaldo al #Napoli? La riflessione di #RioFerdinand lascia pochi spazzi ai dubbi. C'è solo uno scenario che prevede #Cr7 in azzurro https://t.co/48HtowiRj1
1845,@FabrizioRomano News on Ronaldo please
1846,"El ridículo y el daño que estamos teniendo como club este verano @realvalladolid con los fichajes, nos va a pasar factura durante mucho tiempo! @Ronaldo te podrías ir a tomar por culo x ahi, y vender el club, que aquí ni pintas, ni quieres pintar nada! Vaya asco de presidente!!!"
1847,"A la par de Ronaldo Prieto y Edgar Games, @ClubSantos echa mano en los entrenamientos de los defensores de la Sub-20 Íker Banda, Luis González y Juan Tejeda. 

Matheus Doria y Félix Torres son baja por tiempo indefinido. 🚨 https://t.co/a8LNdRruYW"
1848,"@fabio_szn @_DonSelf @FaruqBashar @Abu_bakar__ 😹 Ronaldo scored 31 league for Manchester United in a season, try Dey know stat before arguing bro"
1849,@I_M_Sekhar @ronaldo_mb_dhf Repu matram amunnai bookings mottam kaali a except prasads🤣🤣
1850,@ALMRISEUL @musalli9 @Cristiano على اساس لو ان مسموح لنا التسجيل بيوافق كرستيانو؟ اقسم بالله غبي والله غبي اقسم بالله ادلخ مخلوق خلقه الله ياناس مو طبيعي كل هالدلاخه في مخلوق واحد
1851,@idextratime @ESPNUK Bisul di pantat itu bukan ronaldo tapi kapten nya yaitu pemeran utama spiderman
1852,@_Jude_Stevens_ Most Probably...but the evidence against ronaldo wasnt as crazy as it was against  greenwood
1853,@Huge_Gorilla Depends how OP finesses are. Messi could still be usable. Ronaldo looks horrendous
1854,Ronaldo latest transfer news ?
1855,"🚨 Cristiano Ronaldo is now close to staying at Manchester United.

Moves to Napoli and Sporting are looking unlikely at this moment.

(Source: @carlolaudisa) https://t.co/SKRc3X2Y0f"
1856,@webgirondins Ronaldo?
1857,Cristiano Ronaldo To Pick Between Two Champions League Clubs As United Sanction Loan Move https://t.co/5sLwY4t9eT
1858,@demarkegaming ronaldo max 88 mk 90 ne balonu şisiriyolar her yerde
1859,"Solito scansuolo che stenderà il tappeto rosso agli amichetti strisciati..

Poi col Napoli diventano il Brasile di Ronaldo, ronaldinho e Roberto Carlos.."
1860,"Selalu kepikiran kata"" Ronaldo

He said : ""Talent without work is nothing"" 

It's hard bro😢"
1861,@serhatakin81 Nah goruruz..2.lig topcusunu fenerr getirirsen gotu kalkar kendini ne saniyo aq bide Ronaldo vari hareketler falan.
1862,"Ronaldo should stay at United and change his attitude. Could be a game changer with Antony and Sancho on the wing, and casemiro bringing more stability in the middle. DVB also needs to come out of his shell."
1863,"@A10Savage @Jr_rae @mufcMPB @carlolaudisa He has been on the bench so far for a reason. Ole and Ralf didn't have the balls to bench him but ETH is not having it. If Ronaldo stays, he'll sit on the bench alot"
1864,"This version of Cristiano Ronaldo scored 17 goals in the 2013-14 UCL campaign.

He made Champions League look like Farmers League. 🤯🐐 https://t.co/YIeryRo6ZK"
1865,Ferdinand believes Ronaldo will stay at United before the transfer deadline #mufc  https://t.co/vmQettK0bl
1866,@markgoldbridge Kinda sad Ronaldo has to carry 20 players a fat fuck that’s enjoys kfc rather than football and a pr fraud that’s a league 2 player it’s sad mark
1867,@RCSal1 @MUnitedEs La primera temporada fue muy buena que hasta llegaron a final de Europa league el jugando y aportando. Pero luego con la llegada de Ronaldo y las lesiones perdió titularidad y protagonismo
1868,"Ronaldo devrait être fier d’avoir été comparé à une légende durant sa carrière, en l’occurrence Messi"
1869,@USTHAAD_PK_CULT @ronaldo_mb_dhf Ne Amma mogudu vesada e show https://t.co/yyLdMzSiPf
1870,I personally believe that ronaldo will stay at Manchester United. I would be happy with him staying as the incoming player of Antony coming in with a fantastic eye and ability to cross the ball will help someone like @Cristiano https://t.co/u5TKp8kiKR
1871,@ALMRISEUL @musalli9 @Cristiano كريس مايجي لدوريات العربيه هو قايل وبعدين هذا اسطورة الكوره العالم اعظم لاعب !! لو ايش مايجي هو مايلعب علشان الفلوس 'يعشق الكوره' اخر همه ذي💸مسستحيل يجي للعرب كافه هو يحب ( يلعب دوري أبطال أوروبا ) يجي هنا ايش يسوي يبغى يقابل ليفربول وغيرهم لايسمعنا بس😩 https://t.co/UhANoWjuWp
1872,"O Manchester United contratou Cristiano Ronaldo, Casemiro e Antony e todo eles com um anúncio merda 👏👏 https://t.co/l0DRjHXkn1"
1873,Messi und Ronaldo SBC Futter Nächste Fifa was sind das für stats junge
1874,"@Zemal_GOAT16 Ronaldo c'est pas cher,un petit 20+5"
1875,"¿Las tenías? 👀

Claudio Pizarro 🇵🇪 consolando a Nicolas Anelka 🇫🇷 tras perder la final de la UEFA #ChampionsLeague 07/08 🏆, mientras Cristiano Ronaldo llora de emoción en el piso tras obtener su primera 'orejona'. 

📷: @GettyImages https://t.co/Q0k1qKBGOC"
1876,Jeg arbejder nu for danske aviser daglige nyheder. Sensationel førstedags transfer scoop. #ManUtd sælger #Ronaldo på lån til #Sevilla for 400 € om ugen
1877,@Attaccante1899 @worldcruiseaca2 @bahryrm @DikiAdam4 @GTRoulette @karjomblo @awie_albetawie @Y42N18 @kangadang1 @kkmanti @Dh4n1eLee @reese_one @fairuz_salwa @Mas_Alkaff_ @ROktiarsyahF @cepotharahap @milanistikarbit @RockersPantura @MilanistiOrId @acmilan @Jundarya08 @Lovely_davdee @rossonerifreak @infomilanid @Info4_Milanisti @olanfatah177 @Rayanajakasurya @AndhikaRadhitya @TongSate @bian_raffa @Catatan_ali7 @Cristiano @Ibra_official @FIGC @MI_JABAR_BANTEN @MilanistiMJLK @MI_Giacarta @mmseize @gigiodonna1 @Brahim @hakanc10 @Kessie @IndiHome @davidecalabria2 @jokowi @radekrunic @SandPerantau ✅✅✅ https://t.co/ZJvTupNjGv
1878,@KhumoDibakoane1 @Llekamania_ @antony00 Ronaldo has never won a CL😁
1879,"@markgoldbridge If Ronaldo was to leave, he would have left, at the moment, no club wants him, so he’s staying except any club shows interest in him late"
1880,@Corinthians Bem que vocês podiam anunciar a contratação do Cristiano Ronaldo como presente né
1881,@SicarioRojas Pasa que Dybala no va al mundial. Pero con la presión de Adidas si... Ya lo hizo Nike con Ronaldo en el 98
1882,"😍 Nosso Time não para! Vem com a gente, nos quatro cantos de Alagoas construir a campanha de Lula, Paulão e Ronaldo Medeiros!

#MSTnasEleições #ComitêsPopulares #TimeDaEsperança #MSTNasEleições #TôComLula #TôComPaulão #TôComRonaldoMedeiros https://t.co/kyS3DZ9XbU"
1883,Il a dû lui dire qu’il est plus rapide que Cristiano Ronaldo mdr https://t.co/DiJ1JWrc5h
1884,@BetterCallRauI Ronaldo born in the same month as me
1885,@TuertoBones Ronaldo está a 2 donettes de tener su propio campo de gravedad
1886,@Huge_Gorilla used messi quite a bit he still seems good not sure about ronaldo
1887,ronaldo vai comprar a arena mrv de nóis quando a gente falir
1888,@xcapii12 @padrura @JotaUveEle @CadeeOKC @Cristiano @lamacope @Minabonino @kikorivera @MisteerApu @Alphasniper97 pondrias a regulon de titular capi?
1889,@FML__1 Get what you’re saying…which means you shouldn’t support Ronaldo aswell then? Because there might be a chance he bribed someone🤷‍♂️
1890,"@AjithPkCuLt @ronaldo_mb_dhf @TrendPSPK Idi frustration ante 
Mari ekkada fulls padaka x roads lo paddai ani chinchukuntunnadu 😹😹 picchi kukka la https://t.co/5vG3wpwoJS"
1891,En Portugal defienden a Cristiano Ronaldo a pesar de su incierto futuro https://t.co/cYNn1hdy7p
1892,Wish Ronaldo would fuck off already the gremlin
1893,@Ronaldo_uber @hoje_no Ganhou só piada internacional EUA deve ta rindi desse exercito fraco deles
1894,Ang acting ni Ronaldo Valdez so good i forget most of the time na kind of an opportunistic asshole iya character
1895,"@ai_curio_bot botprompt: Cristiano ronaldo, Midoriya Izuku and Bella Thorne shaking hands"
1896,"Mal bldo no me pueden comparar a Cristiano Ronaldo o a Messi con el protagonista del juego del calamar, un poquito de respeto, che https://t.co/6DU3CekLUh"
1897,@ManUtd No Ronaldo….
1898,"@BrunoUsuariu @Ronaldo @Cruzeiro Uai, é torcedor modinha que só aparece nas vitórias??? Lembro que no final do primeiro turno, me enchia o saco direto, principalmente quando perdemos para o Guarani. Agora, aguenta.. seu Vasco não vai subir este ano. Isso é fato. Foca no ano que vem com a ajuda da 777. 🤣🤣🤣🤣"
1899,"Succede che a 38 anni nessuno si accolla 23 milioni di stipendio di questi tempi. Neanche i ricconi. Se ci aggiungi che mettersi Ronaldo in squadra ti obbliga a fare la squadra per lui, come lo prendi il 30 agosto? https://t.co/O9BYi4G1AT"
1900,"@CFCEvan1 So the likes of Messi, Ronaldo, Caramel, Sterling, Salah, Ngolo, Jesus, even Martial, etc.. should be doing worse right...? Nah man"
1901,"@elchiringuitotv @EduAguirre7 ¿Te imaginas que sea Cristiano Ronaldo? Él mismo ya había dicho que iba a dar una entrevista hace unas semanas, jajaja."
1902,@Cristiano Where is your scores king?
1903,@markgoldbridge When Ronaldo leaves but Utd loan in Ighalo https://t.co/QTT1TsnZPS
1904,@SkySportsPL Ronaldo bloody hopes he does lol 😆 😂 🤣 😅
1905,"Memphis Depay, Cristiano Ronaldo’nun ayrılmak istemesini bekleyemeceğini söyledi. Sabah bu saatlerde Depay, 6m maaşa imza atmaya hazır ✍🏻 

🚨 Depay, Juventus yerine Manchester United’ı tercih eder. https://t.co/eSiuq1sRGp"
1906,I want to believe if Ronaldo played in the Nba he would have multiple slam dunk championships...the mans got hops 😮‍💨 https://t.co/PYavm8zZIe
1907,eu tenho um sonho para 2023 @pgsmartins @Ronaldo https://t.co/0fcXElibrR
1908,@bjk__bobo2 @klasikbarney @hedef23noktaexe @yenalbucak1 @demarkegaming Messinin bi takımda faydalı olması için hem o takımın hemde messinin oraya adapte olması lazım Messi Ronaldo gibi düz santrafor değil. Oyun planına Messiyi dahil edemezsın Oyun planını Messi üstünden kurarsın.
1909,"@ErasmoProvenza @realmadrid como te atreves a cuestionar a cristiano ronaldo, ya haga lo que haga y termine como termine su carrera su historia esta contada es uno de los mejores jugadores de la historia del futbol, por no decir el mejor.. no hagan leña de arbol caido"
1910,@naziscooo @padrura @JotaUveEle @CadeeOKC @Cristiano @lamacope @Minabonino @kikorivera @MisteerApu @Alphasniper97 no
1911,"Quand je vois les sommes dépensés pour des joueurs qui n'ont rien prouvé, je me demande toujours combien Messi et Ronaldo jeune auraient coûté... https://t.co/bV02vI32yD"
1912,"Cristiano Ronaldo es atacado desde Italia por su fichaje por el Nápoles: ""Siempre crea problemas"" https://t.co/ZbLl8GtueA"
1913,@FodenPalmer @haalandsezn Swap Ronaldo and guimares for mitrovic and saint maximan
1914,@AnfaasUTD @TheFergusonWay @EmanComel69MUFC Our st option after martial and Ronaldo is☠️☠️
1915,Perché nessuno vuole #Ronaldo?  È comunque una situazione imbarazzante per lui..#Calciomercato
1916,"@TransfersToffee Seriously AG10 again? Ffs he’s not Ronaldo R9 or R7, he’s not a brand yet."
1917,"Binanceʼs 2nd NFT Collaboration With a Football Star in 4 Months . Cristiano Ronaldo has entered an NFT contract with Binance, the largest cryptocurrency exchange. Binance NFT and Toni Kroos jointly launched the “Iceman..."
1918,@SkySportsPL And useless tuchel prefer Antony Gordon over Ronaldo is sad mate 🤦‍♂️🤦‍♂️🤦‍♂️😔 😔 😔 😔 😔
1919,"@SerieA_Lawas Zanetti,zamorane,ronaldo,recoba"
1920,"@SkySportsPL What #Ronaldo needs to do. Is play his way into the team, score goals and have an impact. He missed pre season due to some nonsense and is finding himself on the bench as a result. He’s a class player and can be a big asset this year for #manutd"
1921,@InvictosSomos Hace 13 años con ese dinero comprabas a Cristiano Ronaldo. Que sobrevalorado está el mercado y algunos jugadores.
1922,"Quiere un club que juegue #ChampionsXESPN

Insatisfecho con el Manchester United, Cristiano Ronaldo recibió respuestas negativas de clubes europeos

▶️ No te pierdas la 🏆 #ChampionsLeague en #StarPlusLA

https://t.co/ZFa5ySMRww"
1923,@ManUtd Where is Antony martial  he should be on the first 11 against Leicester  and Ronaldo  should stay in our because  he will bring something good to Manchester United
1924,"Messi'nin berbat geçen sezonunun ardından , Messi'yi Ronaldo'dan daha yüksek reytingli yapmak saçmalık. https://t.co/vDz9C9blck"
1925,@ChelseaFC And zaha and cristiano Ronaldo kk
1926,"#MercadoDeFichajes | ¿El Manchester United tiene “secuestrado"" a Cristiano Ronaldo?, el periodista español reveló la situación de su amigo con su actual club 🔥

 https://t.co/tvbnlAJtfT"
1927,"cristiano ronaldo puede meter 150 goles más, ganar 2 balones de oro más, 3 champions más y ganar también la ruta de las tapas de vallirana que seguiría siendo menos que el enano balonero https://t.co/LT1khyOpVN"
1928,"@JakeIntrovert @RonaIdoProp Ronaldo will give you goals baba, he's leaving or not is not the issue. That is a good attack. So sad man u didn't make champions league. Forget about him trying to leave with this kinda attack and wingers with the midfield, Ronaldo will drops goals fact"
1929,"@napolista Siete incredibili,per anni ci avete abboffato la uallera su quanto fosse una mappina,un viziato e un piatto vuoto stu Ronaldo,e ora non vedete l'ora che venga a Napoli.
Coerenza ,questa sconosciuta 👏🏼👏🏼👏🏼"
1930,@feelslikeinkyiv Ne gerek var abi böyle şeylere. Akşam pazarında kristiyano Ronaldo kovalamak varken. Gereksiz işler. Ali koçu örnek alsınlar.
1931,"@SkySportsPL Hope Ronaldo stays,not the player he was and poisoned the dressing room 🤞🤞🤞
And in other news…..👇🤭🤭🤭🤣🤣🤣🤣🤣 https://t.co/VIhoa7jsb9"
1932,"Quando era pequenino o meu sonho era ser filho do Fábio Coentrão, só porque ele era amigo do Ronaldo e Benfiquista."
1933,"Best Footballers in the world right now In my opinion.
1. Mbappe 
2. Benzema 
3. Lewandoski 
4. Ronaldo 
5. Messi
6. Haaland 
7. De Bruyne 
8. Salah 
9. Manè 
20. Vinicius JR
21. Neymar JR
22. Modric 
23. Kroos 
24. Casmiro 
25. Bruno Fernandes 
26. Van Dijk 
27. Dias
28. Curtois"
1934,@KingsKBoss1 @DanielRegha @Cristiano https://t.co/y0yF7MFcme
1935,"@FrankKhalidUK Ronaldo
He's a gold machine"
1936,"I don't see how a single United player other than Ronaldo is over 85, and he's only that high on merit. https://t.co/b9mwkJgY7z"
1937,"@Rajesh52138502 @maheshcult_dhfm @ronaldo_mb_dhf 5 shows lo ado okati full aeetay anni shows full aeepoinatta ra erripuka , kallu m aeena pawala gade puku lo pettava"
1938,"Ronaldo                                     Messi                  
       🤝                                         🤝
 Scoring headers vs Manchester United https://t.co/aqjYI0Un0R"
1939,"Myślę jednak, że Man Utd jest w piździe między innymi dlatego, że dotychczas pozwalał zasłużonym i utytułowanym piłkarzom na praktycznie wszystko. Poza tym, kto tu wbija Ronaldo nóż w plecy? xd Jest po prostu toksyczną mendą, której wszyscy mają już dość jak w Realu i Juventusie. https://t.co/zFmpURerKg"
1940,rt y fav vavavavavava @padrura @xcapii12 @JotaUveEle @cadeeokc @Cristiano @lamacope @Minabonino @kikorivera @MisteerApu @Alphasniper97
1941,I can’t wait for Ronaldo to leave so I can properly hate Manchester United like I used to.
1942,@Gil1Mariadelafe @Serrecietista @evita2337 @Cristiano Si si pero de Cristiano lo sabemos todos de Trump no sé si saben
1943,Benzema is proof that Ronaldo is overrated 🤷🏾‍♂️…. Literally the day he left benzema became arguably the best striker in the world lol
1944,"Carlos Emilio Orrantia resaltó la disposición y voluntad de Ronaldo Prieto en la zaga central en el pasado partido ante San Luis.

Lamentó la lesión de Félix Torres (quien de aún se desconoce su gravedad y tiempo de recuperación). https://t.co/kVG8IuFPlu"
1945,Mdrrr Ronaldo et cdm dans la même phrase https://t.co/rswJFolxsS https://t.co/8baUy0wQMX
1946,"@mleon1179 @ManuHeredia21 @Cristiano @Manuel_Neuer @thibautcourtois @EASPORTS No están entre los diez mejores, lo compro. Pero decir q ambos no fueron decisivos es un chiste. Cr7 Fue decisivo en las victorias de su equipo, aunque el equipo fracasó, sin el no pasaban a octavos en champions. Por otro lado Messi si q no fue nada decisivo."
1947,But if its Ronaldo everyone is screaming https://t.co/4ExMoJb86H
1948,"#MercadoDeFichajes | El periodista español reveló cuál es el futuro de Cristiano Ronaldo a pocos días de que termine el mercado de fichajes 👀

https://t.co/pBeHvdHWDt"
1949,@bazu191 @_Nhyi They all respected Ronaldo at Juve tbh
1950,"@MUFCoystein @ostyrvold @Chris_Berba Kunne vel kanskje ha hanket in Giroud eller en annen target man ala Dzeko også. På lån eller for 1 sesong. Jeg mener også at Ronaldo må få gå. Helt åpenbart at han ikke ønsker å være der, men topp at ETH benker han."
1951,@markgoldbridge Ronaldo ain't going nowhere
1952,@H3rokee @kauahpv O Ronaldo?
1953,"Cristiano Ronaldo and Binance sign exclusive, multi-year NFT partnership . To introduce Cristiano Ronaldo's supporters to Web3 and provide them with a gateway into the world of NFTs, Binance will launch a worldwide advertising..."
1954,@IconicCristiano it also proves they never watched serie a. it was foolish to pick chiesa's name. they dont know ronaldo-chiesa vibes.
1955,"@MiaSanMane Their net spend won't be that high, they had some huge sales like Ronaldo, Casemiro now, etc."
